TRANSACTION_ID,ACCOUNT_ID,TRANSACTION_TYPE,AMOUNT,CURRENCY,TRANSACTION_TIMESTAMP,MERCHANT_NAME,MERCHANT_CATEGORY,LOCATION,CHANNEL,STATUS,CREATED_AT
71f485a9-6e57-45a1-ae84-859ddc83130a,7b51cd61-5065-4c8e-aed2-409369a9b76d,WITHDRAWAL,801.672164257268,USD,2013-06-17 06:51:07,Coleman LLC,OTHER,"Morrisburgh, Cameroon",ATM,POSTED,2013-06-17 21:36:00
28ad4999-4fbe-4e3a-952a-8d12c33079b9,9adcbb18-c22e-4292-a792-fcf358218286,DEPOSIT,147.77087950983181,INR,2010-03-17 02:18:22,"Jones, Wang and Flores",OTHER,"New George, Uganda",MOBILE,PENDING,2010-03-17 08:29:41
936a7f8b-5fc6-43ca-b5c9-879d4d6d863c,9271de2c-d4de-4e62-91ef-9a8eca4798f0,DEPOSIT,629.4831035403046,EUR,2025-02-21 14:04:32,Davis-Thornton,RESTAURANT,"North Craigfort, Kyrgyz Republic",POS,POSTED,2025-02-22 05:35:17
f6aaacde-728e-4c99-b61d-00449ea9914d,3dc3a47b-43f8-4bab-b6a3-737b34a78361,DEPOSIT,19038.1789734798,USD,2024-10-05 07:16:51,"Becker, Hubbard and Sellers",UTILITY,"New Aprilhaven, Belize",BRANCH,POSTED,2024-10-07 19:37:27
aafa314b-61e7-4c8c-a823-6547b20885b5,f7bad9ab-61a5-4ddd-8607-071b9ae21479,TRANSFER,5778.89096444003,USD,2013-01-16 10:55:05,,,,BRANCH,POSTED,2013-01-16 12:23:51
330d3dc8-e965-4edd-bb05-2d90e2d02085,0516f9fc-d0f3-4205-afa1-c62797efdbf7,DEPOSIT,2319.7741772353725,USD,2011-02-20 21:11:46,Jones PLC,ONLINE,"Marquezstad, Morocco",ATM,POSTED,2011-02-21 13:34:09
106818a7-c0ef-4248-9802-4fef33dd7410,74ae33b9-804b-4a0a-bf24-776365bdb3ce,DEPOSIT,2447.7497966469805,AED,2024-05-03 21:56:42,Vazquez Group,ONLINE,"Daleview, Liberia",POS,POSTED,2024-05-05 10:41:07
0b9f37e7-db5f-4e3b-bf94-0fb27b8fb4de,ff9a8c22-30db-41a0-9819-f0ce686047e5,WITHDRAWAL,4300.007349121997,GBP,2019-01-28 20:51:59,"Simmons, Marsh and Randall",GROCERY,"South Wendyville, Kazakhstan",BRANCH,POSTED,2019-01-29 09:48:20
680882e1-7a97-49a3-85c4-299473141705,ca09d52f-12fc-4060-8dcc-3b5fe2a74fb8,PAYMENT,730.5439994692254,USD,2015-11-18 06:46:49,Swanson Ltd,TRAVEL,"South Nathanmouth, Hungary",ATM,POSTED,2015-11-20 03:54:32
61bd8107-73eb-448f-a0cf-b3be1083746a,13cf5ac8-cd29-4359-b44b-80ac6913569d,PAYMENT,1273.6221627492782,EUR,2020-08-27 18:52:31,Pace-Porter,ONLINE,"South Anna, Burundi",ONLINE,POSTED,2020-08-29 15:07:10
abaa380e-c146-4412-9dee-06d511c45545,799bf2da-1cfd-462b-9e9d-989e387a0e2f,TRANSFER,4339.283854857519,AED,2012-03-04 18:06:40,,,,MOBILE,POSTED,2012-03-07 08:15:47
579cbf32-d090-4c89-8142-95d44982c15a,a3b3b78a-4bcb-4407-88a2-584c04510e51,WITHDRAWAL,1400.5560964733163,GBP,2013-10-28 10:17:07,Winters-Torres,GROCERY,"Bridgesmouth, Kenya",ONLINE,POSTED,2013-10-29 06:22:17
1293877e-a1ca-49b5-b2ff-4b4bb4c5eeb1,5f4686dd-1337-4a0a-8f35-2db1a7860041,DEPOSIT,4439.8448013510715,AED,2017-03-18 12:12:15,Jones PLC,GROCERY,"Port Patrickside, Cambodia",ATM,POSTED,2017-03-20 07:11:25
d1f7aeff-6f78-4cdb-9adb-fad4ebd2cf9a,35a60f6a-8516-430f-ab7f-9cc3fe54b696,WITHDRAWAL,458.7182874688695,USD,2017-08-13 18:47:21,Walsh-Kennedy,ONLINE,"Elizabethhaven, Myanmar",BRANCH,POSTED,2017-08-14 09:57:02
d90ff070-c273-4474-926e-9263bc0c38a5,bafd2382-d768-46d3-95c1-a73e1bd529d6,PAYMENT,4782.252943897865,USD,2021-03-13 04:21:48,"Oliver, Evans and Copeland",TRAVEL,"Brooksland, Pakistan",BRANCH,PENDING,2021-03-15 02:19:12
9cce2ffa-a17d-46ea-9981-90911a623698,d5ce08e2-d103-418d-bcdd-33ca0a64824c,WITHDRAWAL,529.2799660053028,AED,2011-11-08 05:26:34,Nelson Group,TRAVEL,"Serranohaven, Togo",ONLINE,POSTED,2011-11-08 16:03:41
90221265-b994-46db-a30e-1708ecb1e1e0,b5802c25-5daf-4a27-a7af-f4f4189c8d1b,DEPOSIT,4897.671527580826,USD,2018-04-06 04:37:18,Griffin-Cox,FUEL,"Brandonport, Belarus",ATM,POSTED,2018-04-06 10:07:35
78933ed7-f460-4065-96b2-41268f29e94b,07fc83bc-835c-4ff5-872f-474b2f08085c,DEPOSIT,559.0548894196646,AED,2011-06-23 04:25:40,"Fletcher, Taylor and Harvey",UTILITY,"Williamsberg, Romania",ONLINE,POSTED,2011-06-25 13:08:28
69c1faf3-6c1b-4e6e-a7ea-2f307ed5be55,328bb0b7-a92d-4362-b2f7-2a8ac4037491,WITHDRAWAL,1914.7829154156243,USD,2020-09-06 00:06:35,"Johnson, Hart and Ho",TRAVEL,"North Michael, Finland",ATM,POSTED,2020-09-06 23:50:50
d55f6d83-2094-4a0f-9ad9-906b37b43eea,428d9edb-52bc-45c8-8068-800c6c076bdf,WITHDRAWAL,4624.721596152179,USD,2025-05-05 08:35:12,Jenkins LLC,FUEL,"Staceybury, Rwanda",ONLINE,POSTED,2025-05-07 07:01:15
fce1d29f-1bc4-4f9e-bcf5-9c98c59cd365,d6d74398-8eaa-4bc2-b12d-9c9a0f99c9bc,DEPOSIT,3564.073032219,USD,2023-03-13 20:23:15,"Chan, Jenkins and Hernandez",TRAVEL,"Lake Victoriaview, Iran",ATM,POSTED,2023-03-15 16:11:36
3ceda6cf-7ec9-40db-b9ef-357d3f76e553,2ca31570-e1d8-4eb9-bd32-081fb4443a37,TRANSFER,969.0018757691855,USD,2014-01-10 17:34:27,,,,POS,POSTED,2014-01-12 06:58:58
0849f96f-3ce7-419d-873d-1050dfe16450,1e5587f4-c732-468e-adc4-056d204c7980,WITHDRAWAL,1156.5116061317972,USD,2022-09-12 00:36:29,"Harris, Fisher and King",FUEL,"Isabellaton, Heard Island and McDonald Islands",ATM,POSTED,2022-09-14 00:33:53
6fcf19c7-a1da-4cc0-95d5-4bf6cbdca30e,c83bdfe5-f0a7-42a4-9701-ec25edfe21a7,DEPOSIT,1812.819359763284,USD,2024-04-12 11:43:25,Adams-Weber,GROCERY,"Hoffmanberg, Uruguay",ATM,POSTED,2024-04-14 16:52:16
bc58745c-5f42-413d-bc4b-723981879e08,e1a6861d-5b58-4613-b7f5-e04ee14588cf,DEPOSIT,485.70493608507957,INR,2019-08-21 13:43:48,"White, Hamilton and Ward",RESTAURANT,"Port Elizabethton, Lebanon",BRANCH,POSTED,2019-08-24 07:58:37
13269a8d-af90-449d-9740-e91eb6337170,6764e32b-8bf6-4622-b772-a7fc2b948581,PAYMENT,13479.628871355526,USD,2015-08-21 05:21:14,Odonnell-Simpson,RESTAURANT,"Bishopchester, Maldives",MOBILE,POSTED,2015-08-22 20:07:58
