RISK_ID,PARTY_ID,RISK_MODEL_NAME,RISK_SCORE,RISK_CATEGORY,REVIEWED_BY,REVIEW_DATE,RECOMMENDATION,CREATED_AT
bb5989af-257f-4597-8797-c6c483fb680b,c32ee0c1-ed58-4717-92b3-ed1dc30c792a,MODEL_A,58.99012702607456,Medium,EMP2002,2026-04-08,Monitor,2026-04-08 13:08:54
3c541524-312d-435f-b0b1-7754e0a1e590,f1279cbd-e738-45ff-8be5-52c575d50ab5,MODEL_A,87.89594243717465,High,EMP2016,2026-04-08,Enhanced Due Diligence,2026-04-08 01:54:13
a5de1a3d-9f65-4b78-b0d0-b3d82d797459,24231380-e7b4-4ecd-bbb7-94669d7d61c1,MODEL_B,50.008390324839155,Medium,EMP2017,2026-04-08,Monitor,2026-04-08 11:46:18
b785f3c1-d207-4e47-a8cd-cebad48a20e5,008c7a19-f21c-4034-822e-c68dd995f74d,MODEL_A,33.78245018782376,Low,EMP2004,2026-04-08,Proceed,2026-04-08 05:19:10
ecb04d3d-dffe-42e7-8311-aed3da4fa959,7d42d9dc-9f82-486f-ad1a-256f6fa5c221,MODEL_A,97.32903105262237,High,EMP2009,2026-04-08,Enhanced Due Diligence,2026-04-08 05:43:30
41edd160-830f-499d-957c-b8f53f7cad20,f752e4eb-dc3b-4ab2-b731-fc0cefc0dea6,MODEL_A,82.08579234283505,High,EMP2002,2026-04-08,Enhanced Due Diligence,2026-04-08 12:25:18
d2d93acf-9169-46ef-bd06-8169c7d135e8,a83b473f-1cef-4e0e-a6e8-f5046a2a7a78,MODEL_B,55.42120635670009,Medium,EMP2002,2026-04-08,Monitor,2026-04-08 05:35:29
5d450e9f-345f-4141-a971-6049bae76bd0,e3a731fe-296b-41b4-a6dc-64d2dd5cac93,MODEL_A,73.50567066904723,Medium,EMP2019,2026-04-08,Monitor,2026-04-08 01:52:06
7f5ccded-2926-4449-9d13-9a773f138b74,bf37cf26-422d-447f-a0c6-6a0de80af84f,MODEL_C,22.128795856555293,Low,EMP2006,2026-04-08,Proceed,2026-04-08 10:16:21
5f5a3a32-cc24-4cdc-93f7-55f96124c589,87057da6-accf-4c8f-9cb4-0a787e8d080a,MODEL_A,31.488014175100332,Low,EMP2012,2026-04-08,Proceed,2026-04-08 06:30:05
a9fbc090-85c8-463b-965e-00113701dd95,2984be54-9b39-4f42-9c50-4b1e371146b0,MODEL_C,8.530881962171765,Low,EMP2002,2026-04-08,Proceed,2026-04-08 09:58:23
ec64a804-da5b-4267-8cc2-b8132f03ff6e,89d5b0b7-42ff-4866-938e-e8a793b5cc05,MODEL_C,42.769093473946555,Medium,EMP2007,2026-04-08,Monitor,2026-04-08 00:41:36
dbe550aa-1626-4d34-8713-57bc6c0ecd59,5ec53c40-3a1e-4904-88d9-cd935d714d98,MODEL_A,2.857048662531314,Low,EMP2006,2026-04-08,Proceed,2026-04-08 01:10:31
3e2b74a8-8cf8-4c5a-8e08-ea3d68cbe175,d0364c66-3251-4c0a-bf9c-50c2c0684cb3,MODEL_B,49.48743397746692,Medium,EMP2017,2026-04-08,Monitor,2026-04-08 00:06:25
9d39e9ed-04b4-4d90-9edb-4301b49a7bc1,bf90f1ca-a86f-4a3c-93a2-bc53e3fa8ef2,MODEL_B,47.35804981824655,Medium,EMP2020,2026-04-08,Monitor,2026-04-08 10:48:38
900006f8-2fb2-40bf-b436-96a025b188dd,a5f554dc-c419-476e-b6fe-1ed205172f5c,MODEL_B,96.89883666177155,High,EMP2013,2026-04-08,Enhanced Due Diligence,2026-04-08 04:38:02
678c0976-320a-4ccd-9ec4-e68153193a18,5d4943ca-faa4-4bb8-9cf0-19e9a0da85be,MODEL_A,7.562825285240871,Low,EMP2018,2026-04-08,Proceed,2026-04-08 07:45:07
349f7234-eea5-4e1f-bb4e-1d3e5fc884bc,308fc5b3-ce68-4a39-8f29-0c4bf5026050,MODEL_C,84.32674073747349,High,EMP2016,2026-04-08,Enhanced Due Diligence,2026-04-08 05:34:59
96abbec0-cee7-400b-8670-bb97a6810ccc,a927fb16-476a-49c5-a4b5-4fa605f0665b,MODEL_A,71.63761290087884,Medium,EMP2017,2026-04-08,Monitor,2026-04-08 08:00:26
d93a6f0d-1b5e-4ab9-8afd-f9f3b2613700,ab19a584-b667-49ba-83ed-cd7f403b8b61,MODEL_B,27.08999648248578,Low,EMP2016,2026-04-08,Proceed,2026-04-08 04:54:43
9c834b05-f355-46b8-9550-9d8899a139a6,8dde0248-6133-4318-a8bb-2a17e28276a3,MODEL_B,27.702144458792777,Low,EMP2015,2026-04-08,Proceed,2026-04-08 11:11:37
881912ba-4f08-4ab0-b447-48bc85dd212c,a865ce94-0b66-4f24-a9a2-4b53c3080eb0,MODEL_A,39.19620618488735,Low,EMP2003,2026-04-08,Proceed,2026-04-08 04:40:45
5800d78e-16dd-4d47-9fd8-7456b23c1435,a4c653e0-a7bd-4bfc-9c21-57e7c949e3a8,MODEL_B,74.25075020802807,Medium,EMP2018,2026-04-08,Monitor,2026-04-08 03:21:54
6114e022-9f7f-45be-aa23-10acb737aeaf,03e62f8e-949a-402f-87d0-18d9c8ac4630,MODEL_A,90.0081156370384,High,EMP2013,2026-04-08,Enhanced Due Diligence,2026-04-08 03:01:24
d2f1fcaf-cf2b-4cca-849b-3c05c2c51ff6,4807abba-f141-4838-9ea1-ef6f698617f3,MODEL_B,90.78260077714326,High,EMP2008,2026-04-08,Enhanced Due Diligence,2026-04-08 03:09:22
2c160138-ead2-4719-82cc-9fd8a166aa0f,41d9e34f-1e97-4116-addf-54b3ef5be435,MODEL_B,80.53413736240276,High,EMP2009,2026-04-08,Enhanced Due Diligence,2026-04-08 08:34:04
c9634618-9273-4137-a296-45ae101b09a3,6644ab95-78a5-46e1-bd2f-d406da54c504,MODEL_B,45.971833170772804,Medium,EMP2014,2026-04-08,Monitor,2026-04-08 04:11:07
66392084-1d81-4bad-abe9-349c30be9d49,31040de1-d533-4a3e-a9d3-165d1195312f,MODEL_A,99.85149528186031,High,EMP2008,2026-04-08,Enhanced Due Diligence,2026-04-08 07:43:20
146bb26e-2876-430c-b36e-5e6f2a90ab0d,7299a295-82ad-40cd-9c2a-066731d92328,MODEL_B,73.49225446709843,Medium,EMP2006,2026-04-08,Monitor,2026-04-08 04:23:39
d75d3102-ecda-4465-b063-24ff223dd2f2,ad331115-704b-4f0f-b3c5-8ad4f34dbd85,MODEL_A,43.83148287262253,Medium,EMP2008,2026-04-08,Monitor,2026-04-08 11:41:02
7dfa228d-5278-4f3e-9f87-3ae3529fb463,9d5b2295-231a-48ed-ad8f-e291ceecd0ec,MODEL_A,75.36490319598842,Medium,EMP2005,2026-04-08,Monitor,2026-04-08 05:47:20
af105fda-0914-48e3-8970-536d75b7c3e5,1d65ef3e-23f3-470f-809c-fa968397dc87,MODEL_A,66.2586499376482,Medium,EMP2007,2026-04-08,Monitor,2026-04-08 05:00:19
db194b04-ac42-4b39-8f3c-7bcfa568e6bf,90189de2-6e85-41a9-a39d-66c85c3f67e1,MODEL_A,93.15268900531896,High,EMP2017,2026-04-08,Enhanced Due Diligence,2026-04-08 03:05:10
23c31ba5-1d26-4c22-bc23-82900f9c0898,59ff9e58-48cc-42c4-8131-ff05154d439e,MODEL_A,75.77354179794209,Medium,EMP2020,2026-04-08,Monitor,2026-04-08 01:13:06
