KYC_ID,PARTY_ID,KYC_STATUS,REVIEW_DATE,RISK_LEVEL,REVIEWER_ID,LAST_UPDATED
d1e25112-dbd0-4cb4-b0cc-573d178b78d6,1695262e-1314-47b9-afd7-2b43a4b79c43,Pending,2026-04-08,High,EMP1016,2026-04-08 08:02:26
7cf67b68-bce9-4357-b05c-edcc65a9b23d,e3c9e885-5ef9-4ba0-b415-f07018545bc2,Rejected,2026-04-08,High,EMP1017,2026-04-08 03:39:56
a5880c48-e6f2-4494-a8c9-a1b8d8e26d96,02de19bc-24ce-4ec6-8385-97f7d29c2d46,Verified,2026-04-08,Low,EMP1008,2026-04-08 02:09:27
cb0abf7f-13c0-4d8e-bdee-474f60cb6d85,d3e00492-644b-429b-b090-5187afc61995,Verified,2026-04-08,High,EMP1007,2026-04-08 11:57:59
9f46c27a-7c5d-47aa-85c6-75f65c6e5d30,f8076383-8353-471a-b7a3-68adb3e210ae,Verified,2026-04-08,Medium,EMP1001,2026-04-08 05:59:25
4c0f75c3-cec8-4c9e-bd51-1e151fe5717b,b3d59872-fa63-45ef-86cc-caa83bd2232e,Verified,2026-04-08,High,EMP1017,2026-04-08 09:40:25
d28f4789-952e-4e9f-a2c7-f8fc7e3d8082,14b75c08-af9a-454f-a4f6-f8cf2e531ccc,Pending,2026-04-08,High,EMP1012,2026-04-08 10:17:49
5246e7c5-e58a-47d7-a37a-b041f0e4b6b8,497754e3-aa93-479c-8077-7435c237c8ac,Pending,2026-04-08,Medium,EMP1018,2026-04-08 12:47:50
ee93aaf3-b2eb-43a5-a5f9-1ca417d981bb,3fc40214-f214-4ef5-bed7-e95a0f692cec,Verified,2026-04-08,Medium,EMP1005,2026-04-08 04:35:28
d79acebb-133c-4564-ba88-a6e1dbdaa4af,3b6933ad-4603-4523-b671-42fe07b3bcd1,Pending,2026-04-08,Medium,EMP1006,2026-04-08 03:14:10
ec0c24ae-fb5d-4d9d-9fe0-94f3882c76f9,c6d2e655-9b3e-4abf-a4a6-97eb0f8eb446,Verified,2026-04-08,Medium,EMP1005,2026-04-08 05:00:32
b5f16683-e783-4edd-854b-af966e627f7b,7d9afb2e-4e8a-4a9d-b1bf-341faa05326c,Verified,2026-04-08,Medium,EMP1006,2026-04-08 01:33:25
9b1383a4-89e1-497f-9ddd-5c671ff09f46,a02343cd-2c75-4060-b2db-d09f58e4cb1b,Pending,2026-04-08,High,EMP1010,2026-04-08 06:09:56
