PAYMENT_ID,POLICY_ID,CLAIM_ID,DIRECTION,STATUS,METHOD,AMOUNT,CURRENCY,PAYMENT_DATE,TRANSACTION_REF,CREATED_AT
b744af5b-862a-4a02-904d-c0d41cb54f9b,18e86006-d041-4027-b6ca-57bc02f81f4b,,Premium,Pending,ACH,312.26,GBP,2026-04-11,TX8258424696517,2026-04-09 00:04:22
bfce8e1c-44ac-4ef6-9aca-b186bc002ad8,e59a991e-60f8-4b9b-aa8f-819dfe6bef24,,Premium,Pending,Card,1248.54,USD,2024-03-07,TX1871268947,2024-09-12 23:51:42
91c1a826-6389-4545-bda3-47624c5b2409,f96520b4-52cf-4583-b827-3abfd98251b7,9bcba11e-f5ee-42b7-b4d5-89321af92ae1,Payout,Completed,ACH,1225.62,GBP,2025-04-11,TX5764833040,2025-10-30 19:56:54
56ea33dd-4696-4cac-8fbd-d1b735255376,97b149d5-05c7-45d3-b486-bc01553484a0,,Refund,Completed,ACH,778.6,USD,2017-04-06,TX8149951632,2020-08-31 10:47:54
e514c615-a8dd-4a59-a1c3-d006c4d60048,a5421917-55d1-4efd-bd3c-a22b351b261d,2741d6ba-bfca-47d0-8192-f43d1faeb1cf,Payout,Completed,Wire,1239.54,USD,2019-09-27,TX40879306932403,2023-11-30 07:08:19
59799626-720d-4a9c-8b16-7c0e7646ef0a,691f3587-03c7-4b88-89da-109361249083,,Premium,Completed,ACH,1621.87,USD,2026-07-18,TX95380193393170,2026-04-28 06:17:34
f5761060-2f2c-4799-8850-16ff2fe5d95b,98e2a5ca-56d9-438b-a791-02c71bf48a2e,,Premium,Completed,ACH,432.31,INR,2018-08-18,TX8033462371425,2020-11-15 05:57:31
f792dd93-de1c-4aed-9c6a-50d5b5d66846,8f9650d4-4d26-413f-b2eb-00d108d1b5b9,,Premium,Completed,Card,304.54,USD,2016-09-09,TX4374490329117,2023-07-28 08:20:59
c9ed995b-93a5-42e3-8b99-4d93e9773d23,1c3a6bf9-0e7c-48d1-8ef9-f68cbfc01dd5,,Premium,Completed,ACH,1744.82,USD,2023-12-09,TX618459774224,2024-03-24 14:55:15
0e10719e-f92b-4ab5-b154-4aafd07e44a7,901c4723-c9b8-46b2-9b1a-0452091a2623,,Premium,Completed,ACH,1698.57,USD,2023-12-27,TX78939714285,2025-02-08 04:54:32
3346d00d-4ae4-4ea4-8047-b214efdda6ba,fa779ccb-1ce0-4861-8639-f97e5cdebe5f,35522de0-9b48-4d9c-a3ab-d9014f594cf8,Payout,Completed,Cash,503.09,USD,2025-04-13,TX4893074422,2025-10-16 23:09:53
8f3ed80e-63d1-4bbf-9dd6-dec4adce0074,6c12803d-45c7-4211-b23e-abaf686dda2d,2285d655-152f-41f8-b030-b3f9ac906e4e,Payout,Completed,Cash,728.3,CAD,2022-10-23,TX898191590979,2023-05-11 06:54:52
4358751f-8021-4367-9756-580464f3b3cc,4b2adcec-e2c9-47e0-9647-38f662732cac,3bae244f-5601-4fb0-9378-cce706373f08,Payout,Completed,Card,726.88,USD,2022-11-07,TX9551692888,2025-04-04 11:03:23
e8d175ae-0a19-409e-b0a2-08a7ca6eb35a,c846e4b6-d476-4754-9261-2da232f7c7c9,,Refund,Pending,Card,514.06,INR,2024-02-17,TX72651260962279,2025-08-30 18:33:13
ed68f168-7530-4a38-b536-2dfa447c9ca6,f88fa8e8-0e6b-417a-9413-3678b0d6a761,,Premium,Completed,Card,827.93,USD,2024-07-10,TX6325140815,2025-05-08 16:15:09
603b799e-cf7e-4d31-91f2-0f3d54be057e,cd1e31b8-4bac-4dfe-b6ac-771efc176e80,,Premium,Completed,ACH,1269.8,USD,2023-01-17,TX1900380158,2023-09-08 05:47:39
d184e272-cc1d-4367-938a-4620d30966de,e2ab144b-3b3a-4bba-9f83-21ebbf616e0b,,Premium,Completed,ACH,2428.82,USD,2021-07-22,TX7819122238,2023-08-14 18:22:01
aa28910e-28c9-4254-a95f-07d1729f9d8a,4def545f-d748-4821-a57f-1753b1724bd3,efa8cd31-28a5-47cc-a018-5d01508f1c3c,Payout,Completed,Check,963.53,INR,2025-11-28,TX4791444319356,2026-01-25 06:13:47
05e2a76a-851e-4ab5-9c8f-002a1ec203b6,935b041b-5576-441e-ab1e-c66d8887f187,,Refund,Completed,Card,1267.62,CAD,2021-04-28,TX17062671589,2026-04-01 18:23:38
79721896-6b29-4636-869d-498bc6d43393,c702924e-9d3e-4a9e-977e-8593f0b8e16d,3b6d3d1e-5da0-42d2-8c13-caa1d97adcfd,Payout,Completed,ACH,493.29,INR,2018-07-17,TX28441644892656,2020-01-25 21:26:44
33e6d014-f792-447d-bd37-e479c3902a9c,fb0a6542-b297-470a-bdaf-8fece06eb8fb,855ed1af-7465-4e8b-b7ea-3a603a7f6c30,Payout,Completed,Wire,1625.4,USD,2023-03-21,TX912309742260,2025-03-09 14:14:48
15c5eb0c-add7-4c60-953d-c9ea3f71701a,b3522f47-10b4-477a-9e81-e669381cb7aa,b78dadf0-71b4-49f4-baa0-436a8da672e2,Payout,Completed,ACH,655.14,USD,2019-10-23,TX3097978192504,2021-06-02 15:54:18
717ac3d0-af32-4b88-b671-bde646c44bd7,9d802b9a-762b-404a-bbe4-41701ed222d1,0cc0a5e6-66dc-4e7a-af9f-85c529392b20,Payout,Completed,Card,332.43,USD,2020-12-03,TX1263627955,2024-07-25 07:01:57
0734b423-1915-4f26-ae00-821395061a85,cefc7b3d-45c8-4f5b-957a-eeea25258e39,b31bc0f8-bc46-4b85-a0e1-9e5c5bb2980c,Payout,Completed,Cash,959.5,USD,2018-04-23,TX67987198438290,2023-07-09 00:19:18
4967b0bb-a1dd-4ac7-a35c-7aaef72eef30,10c91e64-03fd-45e1-a2a4-49bb8089fd54,5c7042e6-d6a6-47fd-8628-d9cad6bba8b8,Payout,Completed,Card,2285.97,USD,2022-08-22,TX9810677434,2024-11-15 14:08:24
e27dc0bf-0140-4c82-933d-d151a519fcdf,d710f521-7a50-4eef-997e-c81b97144780,,Premium,Completed,ACH,2453.43,GBP,2017-08-27,TX38914051060,2018-10-27 06:05:26
1c53d8b8-cc28-4b37-8f92-cb7320b2974c,51fdb851-13c9-4331-bb6b-3d797c75df8f,bebd948a-70cb-4fd6-ac1b-f5a7f501f2bb,Payout,Completed,Card,2183.89,INR,2024-08-12,TX944366041082,2025-06-09 00:11:32
28522f4e-2a1f-4b4e-9d81-46398cc9ae35,934f0939-bd3c-495b-a485-3f0302dac784,,Premium,Completed,Card,684.2,USD,2025-01-03,TX50554535917140,2025-08-13 19:50:53
5d54bdc9-3b4f-472f-a147-1c3c35d455fb,8060bd77-1f16-4f38-801a-f55399cdac69,,Premium,Completed,Card,1755.01,USD,2017-02-22,TX5977300139,2020-07-23 03:29:54
0659798b-3a80-44ea-a3f7-2d652b3af662,a49ef200-087b-4067-b5d0-bbc00b4bb62b,77d0ffcb-c96c-49ee-bd02-9310ea246c00,Payout,Completed,ACH,1625.58,USD,2025-12-23,TX12615045214,2026-02-06 04:01:33
1d0b5962-beb6-49ec-8e08-ab90a0bc7d3e,99637a9e-1ece-42c8-8f86-2e4358aa47c3,,Premium,Completed,Check,656.0,CAD,2022-06-27,TX318819988003,2023-04-20 20:20:00
508afdbf-499b-40cf-b817-bdea5655fe92,6cc2baed-a12b-4d5f-9ecd-69f830707050,,Premium,Completed,ACH,619.69,USD,2026-05-29,TX47676020216010,2026-04-28 21:45:23
29f9f2b0-154b-4dec-89e5-94c376df4588,d7c0bda6-aac5-4bf8-bc17-b5fddd200987,812867e7-e44c-428b-a7ce-73a6ca806bf6,Payout,Completed,Wire,378.74,INR,2022-06-04,TX24455266499478,2026-01-26 01:35:01
ff12784e-2231-4576-9bb1-68585131ffd2,1c3a6bf9-0e7c-48d1-8ef9-f68cbfc01dd5,,Refund,Completed,Card,1822.64,USD,2024-01-30,TX65186965601361,2026-02-26 06:17:57
9ef47592-1f41-431d-960f-d66f89edfb73,8540e207-896e-404f-bbfc-3aa21cf04213,,Premium,Completed,ACH,1477.1,CAD,2017-03-28,TX70442824536,2018-06-08 14:54:34
c11d64df-d555-406e-b7e2-fd1b4bf92fe8,7f88fe87-fee2-4573-9aff-0e8597d78610,38f7775e-fedc-47ca-a18e-00cfa00e1187,Payout,Failed,Wire,1024.47,GBP,2017-01-26,TX5694211694424,2022-03-31 18:45:38
607b2b97-454f-48d3-9da6-902ae93116cb,4c4ac84f-e96a-4bd0-b37c-d82f37aa18d9,bee72532-9cc5-4ef9-ad76-666c10da0113,Payout,Completed,Card,480.57,USD,2020-04-01,TX88191463175706,2022-08-19 02:51:58
7b1489d9-cb51-4f19-8f68-4c577008113e,7f4bcfed-50df-4a1c-808e-cb74a2f01cc7,,Premium,Completed,Card,730.86,USD,2022-07-09,TX762344972993,2024-03-05 20:48:19
45fdf0fe-0579-4ae2-b292-8a95942be6bd,85bf4d3a-0e73-4177-a83d-2bfc4e86ed08,01c018cd-cd4a-4234-982d-abff79b73e51,Payout,Completed,UPI,793.43,INR,2016-07-09,TX55288460882,2022-02-13 04:44:20
bde7de38-494c-4803-85f4-52a14a19cbb7,6f360175-220d-4513-9fc8-153104ef49c6,,Premium,Completed,Card,1271.99,USD,2023-05-23,TX72546753490,2024-08-24 02:30:01
a5abe54f-088d-4cc2-b431-3a7884a2ee18,9b166d87-cf3f-43e7-812d-2698202a20c3,,Premium,Completed,ACH,448.55,USD,2024-06-28,TX8488479300,2024-11-12 00:42:40
6d6fafd3-1fea-45e4-8ab6-0b41b609ce7f,babe0cbd-b0ef-42c3-b4de-5ec98446996c,,Premium,Completed,Check,1719.65,USD,2024-04-19,TX79540415100582,2026-01-02 05:50:07
cd1f6533-d4b1-4b74-a540-f9c2afbcf774,89e3501b-4ef7-49e8-af15-cd49999f2a1e,,Premium,Completed,ACH,2000.7,USD,2023-10-19,TX94575151284728,2026-03-29 13:59:09
916decb1-3bd7-4aec-8ede-be13df079a2f,8d942b8d-155b-45e0-959f-8f34577d194f,8701da82-49e9-4718-a5ae-ebc57c119005,Payout,Completed,Wire,1406.72,AED,2023-04-22,TX7957994091,2026-02-13 20:51:29
e5dbc62e-e299-4223-96c7-f0f7f3aa5d16,198ef406-528a-4cfb-9d74-961644616a84,,Premium,Completed,ACH,1879.87,INR,2024-03-12,TX83673605093307,2025-03-12 00:14:27
41ae6980-e534-42a7-b849-a6282f962213,356e42ed-83a0-4c17-aa8b-5ce73e5ea554,,Premium,Completed,Cash,1414.64,USD,2024-03-29,TX67205221354272,2024-09-12 12:46:03
deee3838-d1ee-4aac-8d5d-b77199be0b9c,fe9cde35-dcbc-42be-aa34-01f6a761bb90,0f2929d2-4560-414a-a249-7cb0f571d5fa,Payout,Completed,ACH,676.93,USD,2023-04-01,TX555017545795,2023-05-30 01:17:39
889a88f2-b8b2-4231-8416-b45c0dcebcac,ee40d977-3baf-46ca-86e9-86761e7e9e4d,,Premium,Completed,ACH,1614.23,USD,2020-09-01,TX89117972929,2024-02-04 15:31:37
